Afkorting,Betekenis(sen)
IMF,Internationaal Monetair Fonds
IMG,Instituut Mijnbouwschade Groningen
IMO,Internationale Maritieme Organisatie
Incoterms,International Commercial Terms
IND,"Immigratie- en Naturalisatiedienst, Indianapolis International Airport (IATA-code)"
incl.,inclusief
info,informatie
ing.,ingenieur
intern.,internationaal
Interpol,International Criminal Police Organization
IOAW,Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte werkloze werknemers
IOC,Internationaal Olympisch Comité
i.o.m.,in overeenstemming met; in overleg met
IOOF,Independent Order of Odd Fellows
i.o.v.,in opdracht van
IP,Internet Protocol
i.p.v.,in plaats van
IQ,intelligentiequotiënt
ir.,ingenieur
IRA,Iers Republikeins Leger
IRC,Internet Relay Chat
IRL,in real life
i.r.t.,in relatie tot
ISBN,Internationaal Standaard Boeknummer
ISDN,Integrated Services Digital Network
i.s.m.,In samenwerking met
ISO,International Organization for Standardization
ISR,Instituut SportRechtspraak
ISSN,International Standard Serial Number
ISU,Internationale Schaatsunie
IT,Informatietechnologie
ITAL,Instituut voor Toepassing van Atoomenergie in de Landbouw †
ITO,Individueel Technisch Onderwijs
i.t.t.,in tegenstelling tot
IVD,Inspectie Veiligheid Defensie
ivf,In-vitrofertilisatie
i.v.m.,in verband met
IW,Industriële wetenschappen
i.z.g.st.,in zeer goede staat
J. of j.,jaar
J,joule
JAC,Jongeren Advies Centrum (België) en Jongeren Advies Centrum (Nederland)
JBN,Judo Bond Nederland
jhr.,Jonkheer
JIT,Joint Investigation Team
jkvr.,jonkvrouw
jl.,jongstleden
JOVD,Jongerenorganisatie Vrijheid en Democratie
jr.,junior; jaar
Jz.,"Janszoon, Jacobszoon enz."
JZHMH,Je Zal Het Maar Hebben
kon.,koninklijke
K,kelvin
ka,kiloannum; duizend (103) jaar (in de geologie en astronomie)
KAB,Katholieke Arbeidersbeweging
KAD,Kennis- en Adviescentrum Dierplagen; Kadaster
KANTL,Koninklijke Academie voor Nederlandse Taal- en Letterkunde
kB,kilobyte
K.B.,Koninklijk Besluit
KB,Koninklijke Bibliotheek
KBb,Koninklijke Boekverkopersbond
KBSB,Koninklijke Belgische Schaakbond
kca,klein chemisch afval
kcal,kilocalorie
K.C.Z.B.,Koninklijke Christelijke Zangersbond
kdt,"keuken, douche en toilet"
kg,kilogram (kilogrammassa)
kgb,Kindgebonden budget
KGB,Komitet Gosudarstvennoj Bezopasnosti – geheime dienst van de Sovjet-Unie
k.g.v.,kleinste gemene veelvoud
kHz,kilohertz
KI,Kunstmatige inseminatie bij dieren; kunstmatige intelligentie; kadastraal inkomen
KID,Kunstmatige inseminatie bij mensen met donorzaad
KIM,Koninklijk Instituut voor de Marine
KIT,Koninklijk Instituut voor de Tropen
Kifid,Klachteninstituut Financiële Dienstverlening
KING,"Kwaliteit In Niets Geëvenaard (KING-pepermunt, Sneek)"
KIVI,Koninklijk Instituut Van Ingenieurs
kJ,kilojoule
k.k.,kosten koper
KKC,Kleine Kredieten Coronagarantieregeling
KL,Koninklijke Landmacht
kga,klein gevaarlijk afval
KLIC,Kabel- en leidingen Informatie Centrum
Kliko,"Klinkenberg en Koster, zie Minicontainer"
KLM,Koninklijke Luchtvaart Maatschappij
KLPD,Korps landelijke politiediensten
KLTZ,kapitein-luitenant-ter-zee
KLu,Koninklijke Luchtmacht
KLV,Koninklijke Landbouwkundige Vereniging
KM,Koninklijke Marine
km,kilometer
KMA,Koninklijke Militaire Academie
KMAR,Koninklijke Marechaussee
km/h,kilometer per uur
KMS,Koninklijke Militaire School
KNAC,Koninklijke Nederlandsche Automobiel Club
KNAU,Koninklijke Nederlandse Atletiek Unie
KNAW,Koninklijke Nederlandse Akademie van Wetenschappen
KNB,Koninklijke Notariële Beroepsorganisatie
KNBSB,Koninklijke Nederlandse Baseball en Softball Bond
KNBV,Koninklijke Nederlandse Bosbouw Vereniging; Koninklijke Nederlandse Botanische Vereniging
KNCB,Koninklijke Nederlandse Cricket Bond
KNDB,Koninklijke Nederlandse Dambond
KNGF,Koninklijk Nederlands Geleidehonden Fonds; Koninklijk Nederlands Genootschap voor Fysiotherapie
KNGU,Koninklijke Nederlandse Gymnastiek Unie
KNHB,Koninklijke Nederlandse Hockeybond
KNHS,Koninklijke Nederlandse Hippische Sportfederatie
KNIL,Koninklijk Nederlandsch-Indisch Leger
KNIR,Koninklijk Nederlands Instituut Rome
KNKB,Koninklijke Nederlandse Kaatsbond
KNKF,Koninklijke Nederlandse Krachtsport en Fitnessbond
KNKV,Koninklijk Nederlands Korfbalverbond
KNLTB,Koninklijke Nederlandse Lawn Tennis Bond
KNM,Koninklijke Nederlandse Munt
KNMG,Koninklijke Nederlandsche Maatschappij tot bevordering der Geneeskunst
KNMI,Koninklijk Nederlands Meteorologisch Instituut
KNMV,Koninklijke Nederlandse Motorrijders Vereniging
KNRB,Koninklijke Nederlandsche Roeibond
kno,"Keel-, neus- en oor-(heelkunde)"
KNRM,Koninklijke Nederlandse Redding Maatschappij
KNSB,Koninklijke Nederlandse Schaakbond; Koninklijke Nederlandsche Schaatsenrijders Bond
KNSM,Koninklijke Nederlandse Stoomboot-Maatschappij
KNVG,Koepel van Nederlandse Verenigingen van Gepensioneerden
KNVvL,Koninklijke Nederlandse Vereniging voor Luchtvaart
KNVB,Koninklijke Nederlandse Voetbalbond
KNZB,Koninklijke Nederlandse Zwembond
KO,knock-out
Kon.,Koninklijk (predicaat)
KP,Kanaalpeil
Kpl,Korporaal
Kpl 1,Korporaal der eerste klasse
KPMG,Kleynveld – Peat – Marwick – Goerdeler; accountantsorganisatie
KPN,Koninklijke PTT Nederland N.V.
KRO,Katholieke Radio Omroep
KSV,Koninklijke Sportvereniging (België); Katholieke Studentenvereniging (Nederland)
kt.,karaat; knoop
KUB,Katholieke Universiteit Brabant; Katholieke Universiteit Brussel
KUL,Katholieke Universiteit Leuven
K.v.K.,Kamer van Koophandel
KV,Köchelverzeichnis
KVB,Koninklijke Vereniging van het Boekenvak
KVGN,"Koninklijke Vereniging van Gasfabrikanten in Nederland, 1973"
KVO,Keurmerk Veilig Ondernemen
KVP,Katholieke Volkspartij
KVVP,Koninklijk verbond van vrede- en politierechters
kW,kilowatt
KWB,Kristelijke Werknemersbeweging
KWF,Koningin Wilhelmina Fonds
kWh,kilowattuur
KWPN,Koninklijk Warmbloed Paard Nederland
l of L,liter
£,Pond sterling
l.a.,linksaf
L.A.,Los Angeles
lab,laboratorium
LAKS,Landelijk Aktie Komitee Scholieren
LAN,Local Area Network – netwerk tussen computers
lavo,lager algemeen voortgezet onderwijs
LB,"provincie Limburg, Nederland"
LBE,"Langslopen, Bellen, E-mailen - managementtaal voor persoonlijk contact eerst"
LBIO,Landelijk Bureau Inning Onderhoudsbijdragen
lbo,lager beroepsonderwijs
LBZ,Landelijke Basisregistratie Ziekenhuiszorg
lcd,liquid-crystal display
LCH,Landelijk Consortium Hulpmiddelen
LCI,Landelijke Coördinatie Infectieziektebestrijding
LCL,Le Crédit Lyonnais
LCPS,Landelijk Coördinatiecentrum Patiënten Spreiding
LCW,Landelijke Coördinatiecommissie Waterverdeling
LDD,Lijst De Decker
leao,lager economisch en administratief onderwijs
led,Light-emitting diode
lez,lage-emissiezone (milieuzone)
l.g.,laatstgenoemde
LH,"Landbouwhogeschool, thans Wageningen University & Research (WUR)"
LHC,"Large Hadron Collider, een deeltjesversneller van het CERN"
LHP,Landelijk Huurders Platform
l.i.,landbouwkundig ingenieur
L.I.,Long Island
LIE,provincie Luik (Liège)
LIFF,Leiden International Film Festival
LIM,"provincie Limburg, België"
LIO,Leraar in opleiding
LJN,Landelijk Jurisprudentie Nummer
LKP,Landelijke Knokploegen
ll.,laatstleden
LLTB,Limburgse Land- en Tuinbouwbond
LLW,Laag laagwater
ln.,linnen
LNAZ,Landelijk Netwerk Acute Zorg
LNV,"Landbouw, Natuur en Voedselkwaliteit"
LO,Lager Onderwijs; lichamelijke opvoeding; Landelijke Organisatie voor Hulp aan Onderduikers
LOFAR,LOw-Frequency ARray
LOI,Leidse Onderwijsinstellingen; Landelijk Overleg Infectieziektebestrijding
LOM,Kinderen met leer- en opvoedingsmoeilijkheden
LPF,Lijst Pim Fortuyn
lpg,liquefied petroleum gas
L.S.,"lectori salutem (de lezer gegroet, den lezer heil)"
lsd,lysergeenzuurdi-ethylamide – een drug
LSH,Laboratorium voor Speciële Hematologie van het LUMC
LSP,Landelijk schakelpunt
lt.,Luitenant
LTO,Land- en Tuinbouworganisatie
lts,lagere technische school
LTT,Lactose tolerantie test
lu,lumen
LUMC,Leids Universitair Medisch Centrum
L.v.O.,Land van Oorsprong
LUX,provincie Luxemburg
LVV,Landelijke Vreemdelingen Voorziening
M,medium
m,"meter, in samenst. milli-"
m.,mannelijk; meneer / mijnheer
Ma,mega-annum; miljoen (106) jaar (in de geologie en astronomie)
Mac,Apple Macintosh
MAF,Maximumfactuur
mavo,middelbaar algemeen voortgezet onderwijs
m.a.w.,met andere woorden
max.,"maximum, maximaal"
Mb of Mbit,megabit
MB,megabyte
MBA,Master of Business Administration; Moderne Bedrijfsadministratie
mbo,middelbaar beroepsonderwijs
m.b.t.,met betrekking tot
m.b.v.,met behulp van
MBvO,Meer Bewegen voor Ouderen
mcg,Microgram
MDI,Meldpunt Discriminatie Internet
ME,myalgische encefalomyelitis; Mobiele Eenheid; Middeleeuwen
meao,middelbaar economisch en administratief onderwijs
mej.,mejuffrouw
MER,Milieueffectrapportage;
MET,Middeleuropese Tijd (Engels: Middle European Time)
MEV,Macro Economische Verkenning
mevr.,mevrouw
MGM,Metro-Goldwyn-Mayer
Mgr.,Monseigneur
m.h.g.,met hartelijke groeten
MHz,megahertz
m.i.,mijns inziens
mi.,middag
Mij,maatschappij
min.,"minimum, minimaal; minister; minuut"
MIT,Massachusetts Institute of Technology
MIVD,Militaire Inlichtingen- en Veiligheidsdienst
m.i.v.,met ingang van; met inbegrip van
MJK,"Museumjaarkaart †, thans Museumkaart"
mkb,Midden- en kleinbedrijf
MKZ,mond-en-klauwzeer
ml of mL,milliliter
mld.,miljard
mln.,miljoen
mm,millimeter
mms,middelbare meisjesschool
MMT,Mobiel Medisch Team
m.m.v.,met medewerking van
m.n.,met name
mngt,Management
MOB,Met onbekende bestemming; Maatschappelijk Overleg Betalingsverkeer
modem,modulator-demodulator
MOOZ,Medefinanciering Oververtegenwoordiging Oudere Ziekenfonds-verzekerden
Mora,Mourmans en Ramaekers
MP,Militaire politie
MPG,MilieuPrestatie Gebouwen
mpt,Modulair pakket thuis
MPV,Multi-purpose vehicle
mr.,meester (in de rechten)
MRDH,Metropoolregio Rotterdam Den Haag
MRI,Magnetic Resonance Imaging
MRSA,Meticilline-resistente Staphylococcus aureus
ms,motorschip
mS,millisiemens
MS,Microsoft; Multiple sclerose
MSc,Magister Scientiae
MSN,Microsoft Network
mts,maatschap; middelbare technische school
MUG,Mobiele Urgentiegroep
mulo,meer uitgebreid lager onderwijs
MUPI / mupi,mobilier urbain pour l'information (een type reclamezuil)
m.u.v.,met uitzondering van
mv.,meervoud
m.v.g.,met vriendelijke groet
MVM,Man Vrouw Maatschappij
MVO,Maatschappelijk verantwoord ondernemen
mvt,memorie van toelichting
MVV,Machtiging tot voorlopig verblijf
MW; mw.,Megawatt; mevrouw
MWO,Militaire Willems-Orde
Mzn,Maartenszoon
N,noorden
n.,neutrum; nominatief
NA,Nationaal Archief
n.a.,non-actief
NABV,Nederlandse Airsoft Belangen Vereniging
NABO,niet actief beveiligde overweg
NAC,"NOAD ADVENDO Combinatie (Noad: Nooit ophouden altijd doorgaan, Advendo: Aangenaam door vermaak en nuttig door ontspanning)"
NAM,provincie Namen; Nederlandse Aardolie Maatschappij
NAP,Normaal Amsterdams Peil
NASA,National Aeronautics and Space Administration
NAV,Nederlandse Adelsvereniging
n.a.v.,naar aanleiding van
NAVO,Noord-Atlantische Verdragsorganisatie
NAW,"Naam, Adres en Woonplaats"
NB,Noord-Brabant
N.B.,Latijn: Nota bene (let wel); noorderbreedte; Noord-Brabant
NBA,Koninklijke Nederlandse Beroepsorganisatie van Accountants
NBB,Nederlandse Basketball Bond
NBBA,Niet Bij Brood Alleen
NBC,Nederlands Bakkerij Centrum; National Broadcasting Company
NBN,Normalisation Belge/Belgische Normalisatie
N.Br.,noorderbreedte; Noord-Brabant
NBTC,Nederlands Bureau voor Toerisme & Congressen; Nederlandse Border Terrier Club
NBVH,Nederlandse Beroepsvereniging van Hypnotherapeuten
n.c.,nostro conto (< Italiaans: op onze rekening)
n.C.,na Christus
n.Chr.,na Christus
NCAB,Nationaal Coördinator Antisemitismebestrijding; Nederlandse Christelijke Agrarische Bond †; Nationale Commissie Aids Bestrijding †
NCvB,Nederlands Centrum voor Beroepsziekten
NCPN,Nieuwe Communistische Partij Nederland
NCRV,Nederlandse Christelijke Radio-Vereniging
NCSC,Nationaal Cyber Security Centrum
NCV,Noodcommunicatievoorziening
NCW,Nederlands Christelijk Werkgeversverbond
Nd.,Nederduits
NDFF,Nationale Databank Flora en Fauna;
Ndl.,Nederlands
NDP,De Nederlandse Dagbladpers; Nationale Democratische Partij (Suriname)
NDSM,Nederlandsche Dok en Scheepsbouw Maatschappij †
NEC,Nijmegen Eendracht Combinatie
NECSTGEN,Nederlands Centrum voor Stamcel- en Gentherapie
Ned.,Nederlands
Ned. Herv.,Nederlands Hervormd
Nedmag,"Nedmag, Nederlandse Magnesia"
NEFOM,Nederlandse Federatie Omgevingslawaai Motorvoertuigen
n.e.g.,niet eerder genoemd
NEH,Nederlandsche Economische Hoogeschool †
Neh.,Nehemia
NEHEM,Nederlandse Herstructureringsmaatschappij
NEN,Nederlands Normalisatie-instituut
NFB,Nederlandse Frisbee Bond
NFI,Nederlands Forensisch Instituut
ngo,niet-gouvernementele organisatie
NGT,Nederlandse Gebarentaal
N.H.,Noord-Holland; Nederlands-hervormd; New Hampshire
NHB,Nederlandse Hersenbank
NHG,Nationale Hypotheek Garantie; Nederlands Huisartsen Genootschap
NHL,Noordelijke Hogeschool Leeuwarden
NHM,Nederlandsche Handel-Maatschappij †
n.h.m.,naar haar/hun mening
NHR,Nieuw Handelsregister
NHSB,"Nederlands Hondenstamboek, Noord-Hollandse Schaakbond"
NHV,Nederlands Handbal Verbond
NHW,Nieuwe Hollandse Waterlinie
N.-I.,Nederlands-Indië †
NIAS,Netherlands Institute for Advanced Study
Nibud,Nationaal Instituut voor Budgetvoorlichting
NICE,(Stichting) Nationale Intensive Care Evaluatie
NICU,Neonatale intensive care unit
NIDI,Nederlands Interdisciplinair Demografisch Instituut
NIFP,Nederlands Instituut voor Forensische Psychiatrie en Psychologie
Nikhef,"Nikhef, Nationaal Instituut voor Kernfysica en Hoge-Energiefysica, thans Nationaal instituut voor subatomaire fysica"
NILI,"Nederlands Instituut van Landbouwkundig Ingenieurs †, opgegaan in KLV"
NIMA,Nederlands Instituut voor Marketing
NIMH,Nederlands Instituut voor Militaire Historie
NINO,Nederlands Instituut voor het Nabije Oosten
NIOD,Nederlands Instituut voor Oorlogsdocumentatie
NIOS,Nederlands Instituut Opleiding Sportartsen
NIPO,Nederlands Instituut voor Publieke Opinie
NIS,New Israeli Sheqel
NIVEA,Niet invullen voor een ander
NJHC,Nederlandse Jeugdherbergcentrale
NJV,Nederlandsch Jongelings Verbond
NK,Nederlands Kampioen; Nederlands Kampioenschap; Nederlandse Kampioenschappen
NKBV,Koninklijke Nederlandse Klim- en Bergsport Vereniging
NKV,Nederlands Katholiek Vakverbond
NL,Nederland
Nl.,Nederlands
nl.,namelijk
n.l.,"non licet (< Latijn: niet toegestaan); non liquet (< Latijn: de zaak is nog niet duidelijk, nog niet bewezen)"
NLDA,Nederlandse Defensie Academie
NLP,Neuro-Linguïstisch Programmeren
NLR,Nationaal Lucht- en Ruimtevaartlaboratorium
nm,nanometer
Nm,"newtonmeter, zie ook: N·m"
Nm.,Numeri
N·m,"newtonmeter, zie ook: Nm"
n.m.,"na de middag, namiddag"
NMa,Nederlandse Mededingingsautoriteit
n.m.b.m.,naar mijn bescheiden mening
NMBS,Nationale Maatschappij der Belgische Spoorwegen
NmG,Nederlands met Gebarentaal (ook wel Nederlands ondersteund met gebarentaal)
n.m.m.,naar mijn mening
NMo,Nationale Monumentenorganisatie
nn,nomen nudum
N.N.,nomen nescio (naam onbekend)
NNAC,Noord Nederlandse Aeroclub - Eelde
n.n.b.,nog niet bekend
NNDF,Noord Nederlandse Duikfederatie
NNI,Nederlands Normalisatie-instituut
N.N.O.,noordnoordoost(en)
N.N.W.,noordnoordwest(en)
No.,nummer (numéro)
no.,netto
N.O.,noordoost(en)
NOC,Nederlands Olympisch Comité; Nationaal Olympisch Comité; national oil company; Nursing Outcomes Classification
n.o.m.,naar onze mening
NOM,Nul op de meter
NOP,Noordoostpolder
NORA,Nederlandse Overheid Referentie Architectuur
NORAH,Noordelijke Randweg Haagse Regio
NOS,Nederlandse Omroep Stichting
NOT,Nederlandse Onderwijs Televisie; Nederlandsche Overzee Trust Maatschappij
n.o.t.k.,nader overeen te komen
NOVI,Nationale Omgevingsvisie
NOVIB,Nederlandse Organisatie voor Internationale Bijstand
NOW,(tijdelijke) Noodmaatregel Overbrugging voor Werkgelegenheid
NP,Niet parkeren
NPB,Nederlandse Politiebond
NPO,Nederlandse Publieke Omroep; Nederlandse Postduivenhouders Organisatie
NPOV,neutral point of view (neutraal standpunt)
NPS,Nederlandse Programma Stichting (opgegaan in NTR)
NPV,"Nederlandse Patiëntenvereniging; De Nederlandsche Padvinders, opgegaan in Scouting Nederland"
nr.,nummer
n.r.,nieuwe rekening; nieuwe regel
NR,Nederlands record
NRA,Nederlandse Racquetball Associatie
NRB,Nederlandse Rugby Bond
NRC,Nieuwe Rotterdamsche Courant
nro.,Nummero
NRS,Nederlands Rundvee Syndicaat
nrs.,nummers
NRU,Nederlandse Radio Unie
NS,Nederlandse Spoorwegen
NSB,Nationaal-Socialistische Beweging
NSCR,Nederlands Studiecentrum Criminaliteit en Rechtshandhaving
NSDSK,Nederlandse Stichting voor het Dove en Slechthorende Kind
NSF,Nederlands Sociaal Forum; Nationaal Songfestival; Nederlandse Sport Federatie; Nederlandsche Seintoestellen Fabriek
NSFW,Not Safe/Suitable For Work (Niet (veilig) voor op het werk)
NSGK,Nederlandse Stichting voor het Gehandicapte Kind
NSR,Nederlandse Studentenraad
N.T.,Nieuwe Testament
n.t.,niettegenstaande
n.t.b.,nader te bepalen
n.t.o.,nog te ontwikkelen
NTR,"NPS (Nederlandse Programma Stichting), Teleac (Televisie Academie) en RVU (Radio Volksuniversiteit educatieve omroep)"
NTS,Nederlandse Televisie Stichting
NTTB,Nederlandse Tafeltennisbond
Num.,Numeri
Nuffic,Netherlands Universities’ Foundation for International Cooperation
NUHO,Niet-Universitair Hoger Onderwijs
NUT,Nieuw Utrechts toneel
"nv, N.V.",Naamloze Vennootschap
NVA,Nederlandse Vereniging voor Autisme
NVa,"Nationale Volksarmee, leger van de voormalige DDR"
N-VA,"Nieuw-Vlaamse Alliantie, politieke partij in Vlaanderen"
NVAR,"Koninklijke Nederlandse Vereniging voor Afval- en Reinigingsmanagement, voorheen Nederlandse Vereniging van Reinigingsdirecteuren (NVRD)"
NVB,Nederlandse Vereniging van Banken
NVBA,Nederlandse Vereniging van Bedrijfsarchivarissen
NVBM,Nederlandse Vereniging ter Bevordering van de Meteorologie
NVBS,Nederlandse Vereniging van Belangstellenden in het Spoor- en tramwegwezen
NVBT,Nederlandse Vereniging van Botanische Tuinen; Nederlandse Vereniging Beeldende Therapie
NVH,Niet voor handelsdoeleinden
NVIC,Nederlandse Vereniging voor Intensive Care; Nationaal Vergiftigingen Informatie Centrum; Nederlands-Vlaams Instituut in Caïro
NVJ,Nederlandse Vereniging van Journalisten
NVLF,Nederlandse Vereniging voor Logopedie en Foniatrie
NVLT,Nederlandse Vereniging van Luchtvaart Technici
NVOG,Nederlandse Vereniging voor Obstetrie en Gynaecologie; Nederlandse Vereniging van Organisaties van Gepensioneerden
NVSH,Nederlandse Vereniging voor Seksuele Hervorming
NVSW,Nederlandse Vereniging voor Stabij- en Wetterhounen
n.v.t.,niet van toepassing
NVTL,Nederlandse Vereniging voor Tuin- en Landschapsarchitectuur; Nederlandse Vereniging Techniek in de Landbouw
NVV,Nederlands Verbond van Vakverenigingen
NVVS,Nederlandse Vereniging voor Slechthorenden
NVWA,Nederlandse Voedsel- en Warenautoriteit
N.W.,noordwest(en)
NWB,Nederlandse Wandelsport Bond; Nederlandsche Wielerbond; Nederlandse Waterschapsbank; Nationaal Wegenbestand
NWO,Nederlandse Organisatie voor Wetenschappelijk Onderzoek
NWS,Nederlandse Wereldwijde Studenten
NZa,Nederlandse Zorgautoriteit
NZH,Noord-Zuid-Hollandse (Vervoermaatschappij); Nederland Zal Herrijzen (slagzin in en na 1944)
NZHRM,Noord- en Zuid-Hollandsche Redding-Maatschappij
NZHSTM,Noord-Zuid-Hollandsche Stoomtramweg-Maatschappij
NZH VM,Noord-Zuid-Hollandse Vervoer-Maatschappij
Ω,ohm
o.,onzijdig
O.,oosten
o.a.,onder andere(n)
ob.,obiit (overleden)
OB,Omzetbelasting; ohne Binde (zonder maandverband)
OBD,Open Bedrijvendag
obl.,obligatie
OBM,ontzegging van de bevoegdheid tot het besturen van motorrijtuigen
o.b.s.,openbare basisschool
o.b.v.,op basis van; onder begeleiding van
o.c.,opere citato (in het aangehaalde werk)
OCMW,Openbaar Centrum voor Maatschappelijk Welzijn
OCW,"Ministerie van Onderwijs, Cultuur en Wetenschap"
OD,Ordedienst
o.d.a.m.,om de andere maand
ODBC,Open DataBase Connectivity
o.d.t.,onder de titel; onder de toonbank
o.d.z.,onder de zinspreuk
o.e.r.,op erewoord retour
OECD,Organisation for Economic Cooperation and Development (Organisatie voor Economische Samenwerking en Ontwikkeling)
OESO,Organisatie voor Economische Samenwerking en Ontwikkeling
ofc,"of course, natuurlijk"
o.g.,of gelijkwaardig; ondergetekende
o.g.v.,op grond van; onder gebruikelijk voorbehoud
OGGZ,openbare geestelijke gezondheidszorg
o.i.,onzes inziens
o.i.d.,of iets dergelijks
o.i.v.,onder invloed van
"ok, OK",operatiekamer; operatiekwartier
O.L.,Oosterlengte
OL,Openbaar Lichaam
OLO,Onverwacht Lange Opnameduur
o.l.s.,openbare lagere school
OLT,Openluchttheater
o.l.v.,onder leiding van
O.L.V.,Onze-Lieve-Vrouw
o.m.,onder meer; ongehuwde man
OM,Openbaar ministerie
OMT,Outbreak Management Team
ong.,ongeveer; ongenummerd; ongeadresseerd
ONK,Open Nederlands Kampioenschap
O.N.O.,oostnoordoosten
onov.ww.,onovergankelijk werkwoord
O.O.,onderofficier
o.o.v.,onvoorziene omstandigheden voorbehouden
OPEC,Organisatie van Olie Exporterende Landen (Engels: Organization of the Petroleum Exporting Countries)
opm.,opmerking
opp.,oppervlakte
OPTA,Onafhankelijke Post en Telecommunicatie Autoriteit
OR,Ondernemingsraad; Olympisch record
orac,Ondergrondse restafvalcontainer
ORAS,Organisatie Rationele Studenten
org.,organisatie
ORUN,(Stichting) Opleiding Ruiter Unie Nederland
orv,Overlijdensrisicoverzekering (NL)
OS,Operating System; Olympische spelen
OSG,Openbare scholengemeenschap
OSB,Ordo Sancti Benedicti Benedictijnen; Overheidsservicebus (tegenwoordig Digikoppeling)
O.T.,Oude Testament
OTAP,"Ontwikkeling, test, acceptatie en productie"
OTC,Over-the-counter (financieel)
o.t.t.,onvoltooid tegenwoordige tijd
OU,Open Universiteit
o.v.,onder voorbehoud
OV,Overijssel; Openbaar vervoer; opleidingsvorm (zie buitengewoon onderwijs); Openbaar Veiligheidsnummer bij de DVZ
ov.cmpl.,over complicatie
OVL,Oost-Vlaanderen; Openbare Verlichting
o.v.t.,onvoltooid verleden tijd
OVV,Onderzoeksraad voor Veiligheid; Overlegcentrum van Vlaamse Verenigingen
o.v.v.,onder vermelding van
ozb,onroerendezaakbelasting
O.Z.O.,oostzuidoosten
p.a. of p/a,per adres
PAB,Persoonlijke-assistentiebudget
PABO (pabo),Pedagogische academie voor het basisonderwijs
pae,Personenauto-equivalent
pag.,pagina
paks,polycyclische aromatische koolwaterstoffen
par.,paragraaf
Parl.St.,Parlementaire Stukken van het Belgische parlement
PAV,Project Algemene Vakken in het BSO; perifeer arterieel vaatlijden
P&B,Pull & Bear
PB,petabyte
PBL,Planbureau voor de Leefomgeving
PBM,Persoonlijke beschermingsmiddelen
PBS,Provinciaal Bibliotheeksysteem
P&C,Peek & Cloppenburg
pc,Personal Computer
p.c.,(Fr.) par couvert (ingesloten); (Fr.) pour condoléance (tot rouwbeklag)
PCGD,Postcheque- en Girodienst
PCM,Pulse Code Modulation; Pro Cycling Manager
PCN,Stichting Pensioenfonds Caribisch Nederland
PCOB,Protestants Christelijke Ouderen Bond
PCT,Patent Cooperation Treaty
PD,"Plantenziektenkundige Dienst, opgegaan in NVWA"
PDB,Praktijkdiploma Boekhouden
PDF,Portable Document Format
PDI,Praktijkdiploma Informatica
PDS,Prikkelbaredarmsyndroom
penn.,penningmeester
PE,Preinstalled Environment
PEG,Polyethyleenglycol
PET,Positron Emissie Tomografie; Polyethyleentereftalaat
P&G,Procter & Gamble
PGB,Persoonsgebonden Budget
PGEM,Provinciale Gelderse Energie Maatschappij
PGGM,"Pensioenfonds voor de Gezondheid, Geestelijke en Maatschappelijke belangen"
PGP,Pretty Good Privacy (versleutelprogramma voor telefoon)
PGZ,Preventieve gezondheidszorg
pgb,persoonsgebonden budget
PICS,Post Intensive Care Syndroom
PhD,Philosophiæ Doctor
PHL,Provinciale Hogeschool Limburg
PHLO,(Stichting) Post-Hoger Landbouwonderwijs
PiB,Pebibyte
pin,Persoonlijk identificatienummer
p.k.,Paardenkracht
PKK,Partiya Karkerên Kurdistan
PKN,Protestantse Kerk in Nederland
plm.,plusminus
PLO,Palestine Liberation Organization
plv.,plaatsvervangend
pm,picometer
p.m.,post meridiem (na de middag); pro memoria (ter herinnering); post mortem
pmd,"Plastic flessen, metaalverpakkingen en drankkartons"
PMR,polymyalgia rheumatica (spierreuma)
PMT / PMT-k,Prestatiemotivatietest (- voor kinderen)
P&O,Personeel & Organisatie
P.O.,Plastische opvoeding; Per ondertekening
p.o.,per omgaande; per order
p.o.b.,per ontvangen bericht
POP,Post Office Protocol; Persoonlijk ontwikkelingsplan
POS,problematische opvoedingssituatie
POTS,Publicly Operated Telephony System
POV,Point of view
pp,pianissimo
pp.,pagina's
p.p.,per procuratie; per persoon
p.p.p.d.,per persoon per dag
ppb,parts per billion
ppc,psycho-pedagogisch consulent
PPC,Provinciale Planologsche Commissie †
PPD,Provinciale Planologsche Dienst †
PPG,polypropeenglycol
ppm,parts per million
PPR,Politieke Partij Radikalen
ppt,parts per trillion
P+R,"Parkeer en Reis (Park and Ride), ook: P&R"
PR,Persoonlijk record; Public relations (publieke relaties)
Pres.,president; voorzitter
PRIS,Parkeer Route Informatie Systeem
prof.,"professor; professioneel (beroeps-) voetballer, golfer, tennisser, enzovoort"
prof. em.,professor emeritus
prov.,provincie
PS,postscriptum (naschrift onder een brief)
PSA,Prostaatspecifiek antigeen
pseud.,pseudoniem
PSK,Paleis voor Schone Kunsten (Brussel)
PSP,Pacifistisch Socialistische Partij; PlayStation Portable
PST,Progressief Stijgend Tarief (Personenbelasting (België))
p.st.,per stuk
PSTN,Public Switched Telephone Network
PSU,Persoonlijke Standaard Uitrusting
PSV,Philips Sport Vereniging
PTA,Programma van Toetsing en Afsluiting (bij het Nederlandse schoolexamen)
ptolu,Pas toe of leg uit
PTSS,Posttraumatische stressstoornis
P.T.T.,"Posterijen, Telegrafie, Telefonie"
