Afkorting,Betekenis(sen)
NIH,National Institutes of Health (USA)
NIPT,Niet-invasieve prenatale test
NISB,Nederlands Instituut voor Sport en Bewegen
NIV,Nederlandse Internisten Vereniging
Nivel,"Nederlands Instituut Voor onderzoek van de EersteLijnsgezondheidszorg (Nivel), thans Nederlands Instituut voor Onderzoek van de Gezondheidszorg"
NKOC,Nationaal Kinder Oncologisch Centrum
NLM,National Library of Medicine (US)
NMDA,N-methyl-D-asparaginezuur
NMDL,Nederlands Moleculair Diagnostisch Laboratorium (Rijswijk ZH)
NMO,Neuromyelitis optica
NNGC,Nederlandsch Natuur- en Geneeskundig Congres (1887-2017)
NOVF,Nederlandse Vereniging voor Orofaciale Fysiotherapie (een vereniging voor kaakfysiotherapie))
NPaV,Nederlandse Psychoanalytische Vereniging
NPBI,Nederlandse Productielaboratorium Bloedtransfusieapparatuur en Infusievloeistoffen (NPBI)
NPCF,Nederlandse Patiënten en Consumenten Federatie (thans Patiëntenfederatie Nederland (PN))
NPV,Nederlandse Patiëntenvereniging
NRP,niet-reanimerenpenning
NSAID,Non-steroidal anti-inflammatory drugs (NSAID's) (ontstekingsremmende geneesmiddelen)
NSBB,niet-selectieve bèta-blokker
NSCK,Nederlands Signalerings Centrum Kindergeneeskunde
NSK,Nefrostomiekatheter
NSWP,Nederlandse Stichting Whiplash Patiënten
NTS,Nederlandse Transplantatie Stichting
NTvG,Nederlands Tijdschrift voor Geneeskunde
NTvH,Nederlands Tijdschrift voor Heelkunde
NTX,Niertransplantatie
NVCO,"Nederlandse Vereniging voor Chirurgische Oncologie (Nederlandse Vereniging voor Kankerchirurgie, een ondervereniging van de Nederlandse Vereniging voor Heelkunde (NVVH))"
NVEPC,Nederlandse Vereniging Esthetische Plastische Chirurgie
NVFB,"Nederlandse Vereniging voor Fysiotherapie bij Bekkenproblematiek, evenwel meestal genoemd Nederlandse Vereniging voor Bekkenfysiotherapie"
NVGE,Nederlandse Vereniging voor GastroEnterologie
NVGIC,Nederlandse Vereniging voor GastroIntestinale Chirurgie (een ondervereniging voor maagdarmchirurgie van de Nederlandse Vereniging voor Heelkunde  (NVVH)
NVI,(voormalig) Nederlands Vaccin Instituut (2003-2010)
NVIC,1. Nationaal Vergiftigingen Informatie Centrum; 2. Nederlandse Vereniging voor Intensive Care
NVK,Nederlandse Vereniging voor Kindergeneeskunde
NVKC,1. Nederlandse Vereniging voor Kinderchirurgie (een ondervereniging van de Nederlandse Vereniging voor Heelkunde (NVVH); 2. Nederlandse Vereniging van Klinische Chemie en Laboratoriumgeneeskunde
NVKG,Nederlandse Vereniging voor Klinische Geriatrie
NVLA,Nederlandse Vereniging voor Laboratoriumartsen † (in 1992 opgegaan in Nederlandse Vereniging voor Medische Microbiologie (NVMM)
NVLD,Niet-verbale leerstoornis
NVMBR,Nederlandse Vereniging voor Medische Beeldvorming & Radiotherapie
NVMM,Nederlandse Vereniging voor Medische Microbiologie
NVOG,Nederlandse Vereniging voor Obstetrie en Gynaecologie
NVPC,Nederlandse Vereniging voor Plastische Chirurgie
NVRO,Nederlandse Vereniging voor Radiotherapie en Oncologie
NVSH,Nederlandse Vereniging voor Seksuele Hervorming
NVT,Nederlandse Vereniging voor Traumachirurgie (een ondervereniging van de Nederlandse Vereniging voor Heelkunde (NVVH))
NVU,Nederlandse Vereniging voor Urologie
NVVC,Nederlandse Vereniging voor Cardiologie
NVVE,1. Nederlandse Vereniging Voor Endodontologie; 2. Nederlandse Vereniging voor een Vrijwillig Levenseinde (tot 2006  Nederlandse Vereniging voor Vrijwillige Euthanasie (NVVE))
NVvH,1. Nederlandse Vereniging voor Heelkunde; 2. Nederlandse Vereniging voor Handchirurgie
NVVO,Nederlandse Vereniging van Orthoptisten
NVvL,Nederlandse Vereniging voor Longchirurgie (een ondervereniging van de Nederlandse Vereniging voor Heelkunde (NVVH)
NVVP,Nederlandse Vereniging van Vrijgevestigde Psychologen en Psychotherapeuten (†)
NVVS,"Nederlandse Vereniging voor Seksuologie, thans Nederlandse Wetenschappelijke Vereniging voor Seksuologie"
NVvV,Nederlandse Vereniging voor Vaatchirurgie (een ondervereniging van de Nederlandse Vereniging voor Heelkunde (NVVH)
NVZ,Nederlandse Vereniging van Ziekenhuizen
NVZA,Nederlandse Vereniging van ZiekenhuisApothekers
NVZD,Nederlandse Vereniging van Bestuurders in de Zorg (voorheen Nederlandse Vereniging van Ziekenhuisdirecteure (NVZD))
NWS,Nederlandse Wetenschappelijke Vereniging voor Seksuologie (voorheen Nederlandse Vereniging voor Seksuologie (NVVS))
NZa,Nederlandse Zorgautoriteit
OA,oral appliance (snurkbeugel)
OAC,1. Orale anticonceptie; 2. orale anticoagulantia
OCD,Osteochondritis dissecans (ook afgekort als OD)
OCS,Obsessieve-compulsieve stoornis
OCT,Optische coherentietomografie
OD,Osteochondritis dissecans (ook afgekort als OCD)
ODAP,1. Orphan Drug Access Protocol; 2. oxalyldiaminopropionzuur
OGGZ,Openbare Geestelijke Gezondheidszorg (waaronder Bemoeizorg)
OGTT,orale glucosetolerantietest
OHRA,"OHRA, voorheen Onderlinge voor Hogere Rijks Ambtenaren (zorgverzekering); thans een handelsmerk van onderdelen van de NN Group en de CZ Groep"
OHS,Obesitas-hypoventilatiesyndroom
OI,Osteogenesis imperfecta
OLO,Onverwacht Lange Opnameduur
OMIN,Online Mendelian Inheritance in Man (een medische databank)
OMS,1. Opsoclonus-myoclonussyndroom; 2. Orde van Medisch Specialisten (in 2015 opgegaan in Federatie Medisch Specialisten)
OMT,Outbreak Management Team
ONVZ,"ONVZ, voorheen Onderlinge Nationale Verzekering tegen Ziekenhuiskosten, thans een handelsmerk"
OPS,Organisch psychosyndroom
ORL,Otorinolaryngologie (keel-neus-oorheelkunde)
OSAS,Obstructieve slaapapneusyndroom
OT,Orthostatische tremor
OVAA,Onderlinge Verzekering van Artsen Automobilisten † (thans VvAA)
OVN,Optometristen Vereniging Nederland
OZG,Ommelander Ziekenhuis Groningen
PAH,pulmonale arteriële hypertensie
PAV,perifeer arterieel vaatlijden
PB,paucibacillair  (> PB-lepra: paucibacillaire lepra)
PC,"pubococcygeus (> PC-spier, de musculus pubococcygeus)"
PCH-2,pontocerebellaire hypoplasie type 2
PCI,percutane coronaire interventie
PCP,1-(1-phenylcyclohexyl)piperidine (fencyclidine)
PCR,polymerase chain reaction (polymerase-kettingreactie)
PCT,porphyria cutanea tarda
PDD-NOS,pervasive developmental disorder - not otherwise specified (PDD-NOS)
PDS,prikkelbaredarmsyndroom
PET,positronemissietomografie
PGO,"Patiënten, Gehandicapten en Ouderen (een voormalig fonds waarvan de taken zijn overgenomen door DUS-I)"
PHA,Primair hyperaldosteronisme
PHTS,PTEN hamartoom tumorsyndroom
PJP,Pneumocystis jiroveci
PKAN,pantothenate kinase-associated neurodegeneration
PKU,phenylketonurie (Fenylketonurie)
PLB,"hospholamban, een eiwit"
PLMD,periodic limb movement disorder
PLN,"phospholamban, een eiwit"
PLS,primaire laterale sclerose
PMID,Pubmed identifier (een uniek identificatienummer van een medische publicatie)
PMLE,polymorfe lichteruptie
PMP,pseudomyxoma peritonei
PMR,spierreuma (polymyalgia rheumatica)
PMS,Premenstrueel syndroom
PN,Patiëntenfederatie Nederland
Pneu,pneumokok
PNH,peripheral nerve hyperexcitability
POTS,posturaal orthostatisch tachycardiesyndroom
PPH,procedure voor prolaps en hemorroïden
PPOD,pelvic pain and organic dysfunction
PPPD,persistent postural-perceptual dizziness
PPS,postpoliosyndroom
PrEP,pre-expositie profylaxe
PRO,Patient Reported Outcome (ePRO =  electronic Patient Reported Outcome)
PROVOKE,plaats-rangschikking-omvang-vorm-omtrek-kleur-efflorescentie (PROVOKE)
PSA,"prostaatspecifiek antigeen, een enzym"
PSC,primaire scleroserende cholangitis
PSI,Pneumonia Severity Index
PSMA,progressieve spinale musculaire atrofie
PSP,progressieve supranucleaire parese
PSUR,Periodic Safety Update Report
PT,"protrombinetijd, een resultaat bij bloedonderzoek"
PTO,primaire tumor onbekend
PTS,posttrombotisch syndroom
PTSD,post-traumatic stress disorder (posttraumatische stressstoornis)
PTSS,posttraumatische stressstoornis
PTT,"partial thromboplastin time (partiële tromboplastinetijd), een resultaat bij bloedonderzoek; zie ook: : aPTT"
qPCR,"quantitative polymerase chain reaction (zie PCR, polymerase-kettingreactie)"
QI,queteletindex (ook: body mass index (BMI))
R-CHOP,rituximab cyclofosfamide  hydroxydaunorubicine  oncovin/vincristine prednison (een combinatiechemotherapie)
R0,Basaal Reproductiegetal of besmettingsgetal
Reff of Rt,Effectief Reproductiegetal
RA,1. Reumatoïde artritis; 2. rechter atrium
RAR,rectoanale repair
RAV,Regionale Ambulancevoorziening
RBL,"Rubberbandligering, rubberbandligatie"
RBSPS,Royal Belgian Society for Plastic Surgery (Belgische Vereniging voor Plastische Chirurgie)
RDA,Recommended Dietary Allowance (Aanbebevolen dagelijkse hoeveelheid); zie ook: DRI
RBK,Rechterbovenkwab (van een long)
RBS,Rustelozebenensyndroom (ook bekend als restless legs syndroom (RLS))
REACH,"Registration, Evaluation, Authorization and restriction of Chemicals (REACH)"
RIP,Ruimte Innemend Proces
RIVM,Rijksinstituut voor Volksgezondheid en Milieu
RIZIV,Rijksinstituut voor Ziekte- en Invaliditeitsverzekering (België)
RKI,Robert Koch Instituut
RLS,restless legs syndroom (Rustelozebenensyndroom)
RN,Revalidatie Nederland (branchevereniging voor revalidatie)
RR,Riva-Rocci (aanduiding voor bloeddrukmeting)
RS,"Respiratoir syncytieel (> RS-virus, ook afgekort als RSV)"
RSI,Repetitive strain injury
RSV,Respiratoir syncytieel virus (> RS-virus)
RTE,Regionale Toetsingscommissie Euthanasie
RTS,Syndroom van Rubinstein-Taybi
RTX,Radiotherapie
RVFK,Regionale Vereniging van Fysiotherapeuten voor Kinderen (Eindhoven)
RVP,Rijksvaccinatieprogramma
RVS,Raad voor Volksgezondheid en Samenleving
RVZ,"Raad voor de Volksgezondheid en Zorg, sinds 2016 Raad voor de volksgezondheid en Samenleving"
SaO2,Arteriële zuurstofsaturatie
SARS,Severe Acute Respiratory Syndrome
SAS,Slaapapneusyndroom
SCAL,Stichting Centraal Artsen Laboratorium (Leiden)
SCEN,Steun en Consultatie bij Euthanasie in Nederland (> SCEN-arts)
SCID,Severe combined immunodeficiency
SCT,"1. StamCelTransplantatie; 2. Sluggish cognitive tempo; 3. Sclerotherapie, injectie van een aambei met uitdrogende vloeistof"
SDKB,Stichting Donorgegevens Kunstmatige Bevruchting
SDRA,serotonin–dopamine releasing agent
SDRI,serotonin–dopamine reuptake inhibitor
SEH,Spoedeisende hulp
SGOT,serum glutamic oxaloacetic transaminase
SHMH,Stichting Huisartsenpost Maastricht & Heuvelland
SI,"sacro-iliacaal (> SI-gewricht, sacro-iliacaal gewricht)"
SIJ,"sacroiliac joint (> SI joint),  SI-gewricht"
SIDS,Sudden infant death syndrome  (Wiegendood)
SKB,Streekziekenhuis Koningin Beatrix
SKGE,Stichting klachten en geschillen eerstelijnszorg
SKGZ,Stichting Klachten en Geschillen Zorgverzekeringen
SLE,Systemische lupus erythematodes
SLO,syndroom van Smith-Lemli-Opitz
SMA,Spinale musculaire atrofie
SMEDTS,"Spondylometa-epifysaire dysplasie, type Strudwick"
SMH,Spoedeisende medische hulpverlening
SMR,Sensorimotorisch ritme
SNAQrc,Short Nutritional Assessment Questionnaire for Residential Care (SNAQrc)
SNHZ,(voormalige) Stichting Nederlandse Herstellingsoorden en Zorghotels
SNIP,Stichting Nederlands Instituut voor Pigmentstoornissen (Amsterdam UMC)
SNRA,serotonin-norepinephrine releasing agent
SOA,Seksueel overdraagbare aandoening (geslachtsziekte)
SOI,Seksueel overdraagbare infectie (SOA)
SPECT,Single Photon Emission Computed Tomography (SPECT)
SpO2,Perifere zuurstofsaturatie
SPOA,Stichting Pensioenfonds Openbare Apothekers
SPOR,Spoedeisende Psychiatrische Onderzoeksruimte
SSPE,Subacute scleroserende panencefalitis
SSRI,selective serotonin reuptake inhibitor (selectieve serotonine-heropnameremmer)
SSSS,Society for the Scientific Study of Sexuality
STAP,Stichting Alcoholpreventie (thans Stichting Nederlands Instituut voor Alcoholbeleid STAP)
STI,sexually transmitted infection (Seksueel overdraagbare aandoening (SOA))
SVP,Synovitis villonodularis pigmentosa
SWAB,Stichting Werkgroep Antibioticabeleid
T3,tri-joodthyronine
T4,thyroxine
TAVI,transcatheter aortic valve implantation
TA,Terminologia Anatomica
TACO,transfusion associated circulatory overload
TB / tb,tuberculose
TBC / tbc,tuberculose
TBEV,tickborne encephalitis virus
TCN,Turner Contact Nederland (een patiëntenvereniging)
TD,tractus digestivus
TEACCH,Treatment and Education of Autistic and related Communication Handicapped Children (TEACCH)
TEK,therapeutische elastische kous
TEP,tissue engineered product (product van weefseltechnologie)
TGA,transpositie van de grote vaten
THC,tetrahydrocannabinol (werkzame stof in hennepproducten)
THD,transanal hemorroidal dearterialisation (Dopplergeleide ligering van hemorroïdale arteriën (DG-HAL))
THZ,technische hygiënezorg
TI,tricuspidalisinsufficiëntie
TIN,tubulo-interstitiële nefritis
TIA,transient ischemic attack (TIA)
TMD,"temporomandibulaire disfunctie, het disfunctioneren van het kaakcomplex (zie ook: CMD)"
TRALI,transfusion related acute lung injury
TSN,Trombosestichting Nederland
TTX,"tetrodotoxine, een sterk neurotoxine"
TUG,timed up and go-test
TURP,trans urethrale resectie prostaat
UCB,Union Chimique Belge (Belgische farmaceutische multinational)
UCP,Universitair Centrum Psychiatrie
UCV,ulcus cruris venosum
UMCG,Universitair Medisch Centrum Groningen
UPSV,Utrechtse Pharmaceutische Studenten Vereniging
UZA,Universitair Ziekenhuis Antwerpen
UZI,Unieke Zorgverlener Identificatienummer
V&VN,Verpleegkundigen & Verzorgenden Nederland (beroepsvereniging)
VAGH,Vereniging van Assistent-Geneeskundigen in de Heelkunde
VCE,Videocapsule-endoscopie
VCFS,Velocardiofaciaal syndroom
vCJD,variant Creutzfeldt-Jakob Disease
VEGF,vasculair-endotheliale groeifactor (vascular endothelial growth factor)
Verenso,Vereniging van specialisten ouderengeneeskunde
VGV,Vrouwelijke genitale verminking
VGZ,"VGZ, voorheen (Stichting) Volksgezondheidszorg, thans een handelsmerk van Coöperatie VGZ UA"
VIDO,Vrouwen In De Overgang (een website over menopauze)
VIG,Vereniging Innovatieve Geneesmiddelen
VMBI,Vereniging voor Medische en Biologische Informatieverwerking (Vereniging voor informatieverwerking in de zorg)
VLDL,Very-low-density-lipoproteïn
VLP-vaccin,virus-like particles vaccin
VNN,Verslavingszorg Noord Nederland (VNN)
VNVA,Vereniging van Nederlandse Vrouwelijke Artsen
VRE,Vancomycineresistente enterokok
VSM,Vena saphena magna
VSN,Vereniging Spierziekten Nederland
VSP,Vena saphena parva
VtdK,Vereniging tegen de Kwakzalverij
VU,Vrije Universiteit Amsterdam
VVT,"Verpleging, Verzorging en Thuiszorg"
VvAA,Vereniging van Artsen Automobilisten (VvAA)
VVOC,Vereniging Verpleegkundig Overgangsconsulenten
Wabvpz,Wet aanvullende bepalingen verwerking persoonsgegevens in de zorg
WADA,World Anti-Doping Agency (Wereldantidopingagentschap)
Wbsn-z,"Wet gebruik burgerservicenummer in de zorg (2016-2017), vervangen door Wet aanvullende bepalingen verwerking persoonsgegevens in de zorg"
Wet Bopz,Wet bijzondere opnemingen in psychiatrische ziekenhuizen (1994-2019)
WFME,World Federation for Medical Education
WGBO,Wet op de geneeskundige behandelingsovereenkomst
WHO,World Health Organization (Wereldgezondheidsorganisatie)
WIP,1. Werkgroep Infectie Preventie; 2. World Institute of Pain
WKZ,Wilhelmina Kinderziekenhuis
WMO,Wet medisch-wetenschappelijk onderzoek met mensen
WOCZ,Werkverband Organisaties van Chronisch Zieken (in 2001 opgegaan in de CG-Raad)
Wtg,"Wet tarieven gezondheidszorg, een voormalige zorgwet"
Wtl,Wet toetsing levensbeëindiging op verzoek en hulp bij zelfdoding
Wvggz,Wet verplichte geestelijke gezondheidszorg (2020)
WWS,Walker-Warburg syndroom
WZA,Wilhelmina Ziekenhuis Assen
Wzd,Wet zorg en dwang (2020)
WZOA,Werkgeversvereniging Zelfstandige Openbare Apothekers
X-ray,Röntgenstraling
ZBC,Zelfstandig Behandelcentrum
ZD,"ZorgDomein (> ZD-nummer, Zorgdomein verwijsnummer)"
ZEHG,(Stichting) Zwangerschapsmisselijkheid en Hyperemesis Gravidarum
ZGT,Ziekenhuis Groep Twente
ZGV,Ziekenhuis Gelderse Vallei
ZIS,Ziekenhuisinformatiesysteem
ZKN,Zelfstandige Klinieken Nederland
ZMC,Zaans Medisch Centrum
ZNA,Ziekenhuis Netwerk Antwerpen
ZOL,Ziekenhuis Oost-Limburg (België)
Zora,Zorg ouderen revalidatie en animatie (een humanoïde zorgrobot)
